title,authors,year,venue,method,sample,topic,relevance,link,fulltext_url,why_relevant
Understanding Complex Influences Affecting Participation in Singing,Colleen Whidden,2009,"The Phenomenon of Singing, vol. 7 (Memorial University of Newfoundland)","Нарративное исследование (narrative inquiry): 8 сессий за 5 месяцев — групповое введение, индивидуальное интервью о музыкальной биографии, 6 индивидуальных занятий пением; транскрипты сверены с участниками","Взрослые, называющие себя non-singers, Канада (Калгари); в тексте названо не менее 7 участников (Helen, Sydney, Cheryl, Gilbert, Cathie, Sara, Tony), точное n не извлечено","«I can't sing», идентичность non-singer, детские травмы от учителей, перфекционизм, миф о врождённом таланте",5,https://journals.library.mun.ca/index.php/singing/article/view/908,https://journals.library.mun.ca/index.php/singing/article/download/908/786/3124,"Полный текст прочитан. Четыре темы: негативный детский опыт (чаще — реплика учителя) → сильная эмоциональная связь → интернализация → полное принятие вердикта авторитетной фигуры. Участники считают, что петь стоит только на уровне профессионала. Дословные цитаты: ""I don't know what it is [in our society] but unless you think you are Celine Dion, you're not going to sing"" (Cathie); ""It sounds awful. Oh, it just sounds so horrible"" (Helen); ""Everyone has a base ability . . . But I think it has limitations"" (Sara); ""you can learn to be an average singer but you need a god-given ability to be a great singer"" (Tony); ""I wouldn't want to take the chance of not being able to sing what I hear in my head. The fear factor of failure""."
Singing lessons as a path to well-being in later life,"Alexandra M. Smith, Kay Kleinerman, Annabel J. Cohen","2021 (online), 2022 (issue)",Psychology of Music,Онлайн-опрос (количественные и открытые вопросы),"48 взрослых (из 72 приглашённых), начавших частные уроки вокала после 40 лет; 33 женщины, средний возраст 60,8; 34 из США, 5 из Канады, остальные — Великобритания/Ирландия, Гонконг, Германия, Франция","Мотивация взрослых учеников частных уроков, домашняя практика, благополучие",5,https://doi.org/10.1177/03057356211030992,https://pmc.ncbi.nlm.nih.gov/articles/PMC9014673/,"Полный текст в PMC. Мотивация — удовольствие и личностный рост. Более 90% отмечают пользу для физического и психического здоровья, 67% — улучшение социальных связей. Практика: около 24% занимаются ежедневно, 63% — несколько раз в неделю, в среднем около 47 минут. Барьеры — стоимость и время. Цитаты участников (переданы через WebFetch): ""Getting lost in singing is a great release, and one of the high points of the week. I'm sure it helps me stay sane.""; ""When I found my current voice teacher, through a referral, I knew I'd come home. There was an instant connection."""
Conductor feedback and the amateur singer: The role of criticism and praise in building choral confidence,Michael Bonshor,2017,Research Studies in Music Education,"Качественное: 3 фокус-группы и 16 индивидуальных интервью (более 40 часов), интерпретативный феноменологический анализ (IPA)",Взрослые хористы-любители: 18 в фокус-группах и 16 в интервью; Великобритания,"Уверенность в голосе, влияние критики и похвалы, самооценка голоса",5,https://doi.org/10.1177/1321103X17709630,https://etheses.whiterose.ac.uk/id/eprint/7230/1/Michael%20Bonshor%20PhD%20Thesis%20-%20Confidence%20and%20the%20Choral%20Singer.pdf,"Статья платная; открыта PhD-диссертация автора (Sheffield, 2014) на тех же данных, её PDF проверен (200). Главная тема — как словесная обратная связь влияет на уверенность взрослых певцов-любителей. Полезно для тона обратной связи в продукте."
'It's not that bad singing with other people': The effect of a single outreach on singing attitudes and confidence in adults,"Sally Bodkin-Allen, Nicola Swain, Susan West",2019,Australian Journal of Music Education 52(2),Опрос до и после (количественные шкалы и открытые вопросы) вокруг одного эпизода Outreach Singing,140 взрослых на воркшопе с выступлением в доме престарелых; Новая Зеландия,"Singing confidence, самоопределение «tone deaf», тревога, «mouthing» (открывают рот без звука)",5,https://eric.ed.gov/?id=EJ1269707,https://files.eric.ed.gov/fulltext/EJ1269707.pdf,"Полный текст прочитан. Около четверти участников согласны с утверждением «I consider myself to be tone deaf». Люди ожидали большей тревоги, чем испытали (t=7.70). Значимо снизились «mouthing» и пение так тихо, чтобы никто не услышал. Цитаты: ""It made me feel anxious so I sang quietly."" (TD); ""Singing in small groups made it feel open, people could hear you, it made me feel nervous""; ""Scared at first, got more confident."""
'Singing is No Longer Forbidden to Me – It's Like Part of My Human Dignity Has Been Restored.' Adult Non-Singers Learning To Sing: An Explorative Intervention Study,"Numminen, Lonka, Rainio, Ruismäki",2015,European Journal of Social & Behavioural Sciences 12(1),"Интервенция на 18 месяцев с тестами до и после, оценкой хористов и самоотчётами","10 взрослых non-singers (20–54 лет, 6 женщин и 4 мужчины), студенты-теологи Хельсинкского университета; Финляндия","Обучение взрослых non-singers, рост диапазона и точности, новая идентичность",5,https://doi.org/10.15405/ejsbs.149,https://www.europeanpublisher.com/pdf/article/10.15405/ejsbs.149,"PDF открыт (200, лицензия CC BY-NC-ND), содержание передано через WebFetch со страницы статьи. Расширился диапазон, выросли точность интонирования и оценки слушателей, сложилась позитивная идентичность певца. Цитаты: ""Singing is no longer forbidden to me – it's like part of my human dignity has been restored""; ""Suddenly in a party gathering it was me who was leading the singing""."
Focus of Attention in Voice Training,"Treinkman, M.",2022 (online 2020),Journal of Voice 36(5),"Анонимный онлайн-опрос: певцы приводили дословные инструкции своих педагогов (осанка, дыхание/опора, атака, резонанс, артикуляция, зажимы); контент-анализ по внешнему/внутреннему фокусу внимания","278 взрослых певцов (18+), берущих уроки вокала; США",Язык педагога: образы/внешний фокус vs анатомические/внутренние инструкции,5,https://doi.org/10.1016/j.jvoice.2020.08.035,https://pmc.ncbi.nlm.nih.gov/articles/PMC8360264/,"Прямые данные о том, какими словами педагоги дают обратную связь: ~51% инструкций с внешним фокусом (образы, эффект), ~39% внутренний (тело/анатомия). Примеры из текста: ""Sing through the keyhole"" (внешний), ""Keep that tongue down"", ""Feel expansion in the ribs, lower belly, and lower back on the inhale"" (внутренний). Основа для функции перевода образов в понятные действия."
2024 MTNA Member Survey (Summary),"Music Teachers National Association (Thickstun K., Greene R.)",2024,"MTNA, отраслевой отчёт","опрос (бенчмаркинг, сравнение с опросами 2005 и 2020)","2 719 членов MTNA, США; трек Independent Studio — 2 815 ответов (педагог получает оплату напрямую от родителя/ученика), Higher Ed — 311, Teaching Staff — 295","бизнес студии: ставки, повышение цен, политики студии, маркетинг, оплата, удержание учеников, ПО, доходы",5,https://www.mtna.org/_Library/_documents/MemberSurvey2024_Summary.pdf,https://www.mtna.org/_Library/_documents/MemberSurvey2024_Summary.pdf,"Единственный крупный количественный источник по бизнесу частных студий в США (англоязычный рынок): цены, политики, удержание, используемое ПО. PDF открывается (HTTP 200, 1,4 МБ); текст извлечён только частично (вступление и описание выборки), конкретные цифры по ставкам не прочитаны."
Predictors of Piano Student Dropouts,"Gerelus K., Comeau G., Swirp M.",2017 (онлайн 2020),Intersections: Canadian Journal of Music 37(2),"опрос / анкеты учеников и родителей, сравнение групп","55 бросивших учеников (8–17,5 лет) и их родители против 153 продолжающих, Канада (частные уроки фортепиано); по данным поисковой выдачи","почему бросают уроки фортепиано, удержание",5,https://doi.org/10.7202/1066616ar,https://piano.uottawa.ca/wp-content/uploads/2020/10/36.-Gerelus-et-al_Dropouts-2017.pdf,"Типичный бросивший начал в 7 лет, занимался около 5 лет и бросил в 12; у бросивших ниже автономная мотивация и сильнее амотивация, свои способности они оценивают ниже. Прямо про удержание учеников в частной студии. PDF открывается (HTTP 200); цифры взяты из сниппетов поиска, полный текст целиком не прочитан."
Assessment Practices and Beliefs of Secondary Choir Teachers,Ben Kambs,2025,Update: Applications of Research in Music Education,опрос (онлайн-анкета),"182 учителя хоров средней/старшей школы, Индиана, США",оценивание в школьном хоре K-12,5,https://doi.org/10.1177/87551233241236684 (ERIC EJ1472015),https://journals.sagepub.com/doi/pdf/10.1177/87551233241236684?download=true,"По аннотации, учителя хоров по-прежнему ставят оценки в основном за посещаемость и участие, а не за вокальные навыки, хотя уже есть технологии индивидуальной оценки. Это прямая ниша для инструмента, который измеряет прогресс каждого певца. Полный текст не читался."
"Singing Together, Yet Apart: The Experience of UK Choir Members and Facilitators During the Covid-19 Pandemic","Daffern H., Balmer K., Brereton J.",2021,Frontiers in Psychology 12:624474,Онлайн-опрос (кросс-секционный) + тематический анализ открытых ответов,"3 948 участников (2 753 хористов, 819 руководителей), Великобритания, июль–авг 2020; в основном женщины 55–74 лет","Виртуальные хоры: multi-track запись себя, стриминг, Zoom; задержка, одиночество, тревога при записи соло",5,https://doi.org/10.3389/fpsyg.2021.624474,https://pmc.ncbi.nlm.nih.gov/articles/PMC7930073/,"Самая крупная выборка взрослых любителей. Прочитан полный текст: запись соло-трека вызывала чувство уязвимости и давления у одних и давала возможность для рефлексии другим; латентность не даёт петь вместе. Цитаты: ""The additional fight with unreliable technology just makes an unsatisfactory experience really stressful""; ""I really wanted to join in but singing alone to a screen made me sad rather happy"". Подтверждает боли: страх слышать/записывать себя, техника как барьер, потребность в сообществе"
