id,name_ru,name_en,skill,how,fixes,level,load,solo_ok_default,popularity,coaches,sources
BR-01,"Низкий вдох «в пояс»: диафрагмальный, «на 360°»",Low breath: diaphragmatic / belly / 360° low-and-slow inhale,BREATH,"Стоя или лёжа, рука на животе. Вдох медленный и низкий: расширяются живот, бока и спина («на 360°»). Плечи и ключицы не двигаются. Затем медленный ровный выдох. У Felicia Ricci каждая распевка выполняется как дыхательное упражнение.","Ключичное, поверхностное дыхание, поднятые плечи, напряжение шеи, нестабильная опора",новичок,1,да,4,"Felicia Ricci, Madeleine Harvey, Roger Love, Ken Tamplin","сырые №77, 96, 176. Ricci (пересказ видео): https://www.facebook.com/FeliciaRicciOfficial/videos/fix-your-singing-using-breath-breathing-for-singers/947146352031014/ ; Harvey «Maximize Your Breath – The Inhale» (по названию видео): https://www.youtube.com/watch?v=rbNt9yxcgk4 ; Love, Tamplin: по памяти модели, не проверено (https://www.youtube.com/@RogerLove). Соответствует BR-02 стартового набора."
BR-02,Длинный выдох на «с-с-с» (и «ш»),Hiss breathing / S-hiss airflow control (sustained 'sss'),BREATH,"Тихий низкий вдох (живот и бока), затем ровный долгий выдох на «сссс», от 15 до 30+ секунд. С каждым повтором выдох немного длиннее. Варианты: «ш» или «с-с-с» толчками. Плечи не поднимать, без задержек дыхания и без головокружения.","Короткое дыхание, не хватает воздуха на фразу, неровный выдох",новичок,1,да,3,"Cheryl Porter, Ken Tamplin, Aaron Anastasi (+ классическая школа appoggio)","сырые №10, 132, 175. Porter (вторичный источник): https://www.tiktok.com/discover/cheryl-porter-singing-exercises ; Tamplin, Anastasi: по памяти модели, не проверено (https://www.kentamplinvocalacademy.com/). Соответствует BR-01."
BR-03,Мышцы опоры через бытовые и речевые действия (Free Your Voice №1),Primary support muscles / Where your vocal energy really comes from (everyday-muscle drills),BREATH,"Мышцы опоры включаются через знакомые бытовые и речевые действия, после чего это ощущение переносится в пение («true support»). Разбирается, как ощущается правильная работа. Конкретные действия в открытом доступе не раскрыты.","Нет понимания опоры, слабый, «безэнергичный» звук",новичок,1,после показа педагогом,1,Chris Liepe,"сырые №52, 55 (объединены: одна идея). https://chrisliepe.com/free-your-voice/ ; https://chrisliepe.com/where-your-vocal-energy-really-comes-from/ (вторичный источник, описание курса)"
BR-04,Дыхание лёжа с книгой на животе,Diaphragmatic breathing lying down (book on belly),BREATH,"Лечь на спину, книгу положить на живот. На вдохе книга поднимается, грудь и плечи неподвижны. На выдохе книга медленно опускается.","Ключичное дыхание, нет ощущения низкого вдоха",новичок,1,да,1,Roger Love,"сырой №144. https://rogerlove.com (книга «Set Your Voice Free»). НЕ ПРОВЕРЕНО: по памяти модели, веб был недоступен. Соответствует BR-03."
BR-05,«Дай услышать „Х“»: импульсы выдоха на «х»,"Let me hear the ""H"" (breathing pulses)",BREATH,"Серия отчётливых беззвучных импульсов выдоха на «h» от живота. Рекомендация коуча: 3 подхода подряд, 5 раз в неделю.","Слабая опора, голос устаёт и пропадает",новичок,1,да,1,Cheryl Porter,"сырой №9. https://www.tiktok.com/@cherylporterdiva/video/7395424724106415392 (вторичный источник, описание в поиске)"
BR-06,"«Вдох, выдох»: расслабление тела перед пением","Breath In, Breath Out",BREATH,Пре-разогрев: расслабить тело и спокойно дышать. Урок 1 блока Warm-Ups & Warm-Downs.,Общее напряжение перед пением,новичок,1,да,1,Cheryl Porter,сырой №14. https://course.cherylportermethod.com/courses/823327/lectures/14965920 (оглавление курса)
BR-07,Планирование вдохов между фразами,Breath planning between phrases,BREATH,"Разметить в песне места вдохов и заранее добирать воздух перед длинными трудными строками, учитывая соседние фразы. Плюс три теста для проверки опоры.",Не хватает воздуха на длинных фразах,новичок,1,да,1,Chris Liepe,сырой №63. https://chrisliepe.com/why-you-run-out-of-breath/ (подтверждено)
BR-08,"Тихие упражнения на диафрагму: «У меня секрет», «Тише», «В библиотеке»",I've Got A Secret / Be Quiet / In The Library,BREATH,"Серия из урока 1: дыхательный разогрев и включение диафрагмы, затем диафрагма с сопротивлением выдоху. Судя по названиям, выполняется тихо. Детали не найдены.","Включение диафрагмы, сопротивление выдоху",новичок,1,после показа педагогом,1,Cheryl Porter,"сырой №15. https://course.cherylportermethod.com/courses/823327/lectures/14965920 (только оглавление курса, паттерн неизвестен)"
BR-09,Полный выдох для снятия зажима шеи,Full exhalation release,BREATH,"Мягко и осторожно выдохнуть почти до ощущения пустоты. Многие чувствуют, как отпускает шея. При астме не перенапрягаться, до головокружения не доводить.",Зажатая шея и горло,новичок,1,после показа педагогом,1,Dr Dan Robinson,"сырой №34. https://www.djarts.com.au/blog/2023/09/dr-dans-guide-to-alleviating-singing-tension/ (подтверждено). Dr Dan — австралийский коуч, не американский."
BR-10,«Максимум дыхания»: выдох с включением диафрагмы,Maximize Your Breath – The Exhale: Engage the Diaphragm,BREATH,"Включить мышцы, которые управляют выдохом, и получить поддержанный естественный выдох. Заниматься в свободной одежде. Конкретные упражнения не раскрыты.","Неуправляемый выдох, не хватает дыхания на фразу",новичок,1,после показа педагогом,1,Madeleine Harvey,сырой №97. https://www.skillshare.com/en/classes/Maximize-Your-Breath-Part-2-The-Exhale-Engage-the-Diaphragm/381840943 (описание урока)
