id,name_ru,name_en,skill,coach,how,fixes,level,home_safe,url,video_title,match,same_video_as_old_catalog
N-AG-01,Упражнение на дыхание и подвижность голоса,Vocal Exercise for Breathing and Agility,AGILITY,Cheryl Porter,"Пойте за коучем подвижный пассаж и следите сразу за несколькими вещами: точная интонация, стабильная позиция гласных, включённая диафрагма, лёгкое вибрато на финальной ноте.","Мелизмы «плывут» по интонации, беглость без опоры, дыхание кончается на быстрых пассажах.",средний,да,https://www.youtube.com/watch?v=nBQH1c20xbs,Vocal Exercise for Breathing and Agility,видео целиком об этом упражнении,
N-AG-02,Простое упражнение на рифы и раны,How to Sing Riffs and Runs (Dr Dan),AGILITY,Dr Dan Robinson,"Разберите простой паттерн для рифов (в стиле Бейонсе, Мэрайи Кэри, Джесси Джей, Тори Келли) по шагам: медленно по нотам, потом в темп.","Рифы выходят смазанными и неточными, голос неподвижный.",средний,да,https://www.youtube.com/watch?v=ZsYwPjY5JGg,How to Sing RIFFS and RUNS | Vocal Exercises | #DrDan,видео целиком об этом упражнении,
N-AG-03,Три сложных упражнения (челлендж для продвинутых),Three Difficult Singing Exercises,AGILITY,Dr Dan Robinson,"Попробуйте спеть три сложных упражнения из видео. Разбирайте каждое медленно и ускоряйтесь, только когда оно получается чисто.","Не хватает координации, точности и подвижности голоса у опытных певцов.",продвинутый,после показа педагогом,https://www.youtube.com/watch?v=bP_gVrRQn9s,Can you sing these three difficult singing exercises? | #DrDan,видео целиком об этом упражнении,
N-AG-04,Вибрато как тренировка скорости рифов,Fast riffs & runs through vibrato,AGILITY,Eric Arceneaux,"Развивайте быстрое свободное вибрато на долгих нотах, затем переносите эту лёгкость и скорость в рифы. Главное, чтобы не было напряжения.","Рифы тяжёлые и медленные из-за зажима, голос недостаточно гибкий.",средний,да,https://www.youtube.com/watch?v=J77rmc3EYBc,"If you want fast riffs & runs, work on your vibrato",видео целиком об этом упражнении,
N-AG-05,"Упражнения для рифов, пассажей и адлибов","Exercises to Train Riffs, Runs & Adlibs",AGILITY,Freya Casey,"Отработайте упражнения из видео на рифы и пассажи, затем импровизируйте с ними: вставляйте адлибы в знакомые фразы.","Неточные, смазанные рифы; скованность в импровизации.",средний–продвинутый,да,https://www.youtube.com/watch?v=c-lYRQh6Pe4,"Freya's Singing Tips: Exercises to Train RIFFS, RUNS & ADLIBS",видео целиком об этом упражнении,
N-AG-06,Рифы и раны: начальный уровень,Riffs and Runs (Beginner),AGILITY,Jacobs Vocal Academy,"Медленно повторяйте за фортепиано короткие пассажи на слоги «ма», «и», «нэй», «мяу», «бап», «а», «мэ». Каждая нота чёткая.","Смазанные ноты в мелизмах, неточность в быстрых фразах.",начальный,да,https://www.youtube.com/watch?v=pRoSbQWmiqY,Riffs and Runs (Beginner) - Vocal Exercise,видео целиком об этом упражнении,
N-AG-07,Рифы и раны: средний уровень,Riffs and Runs (Normal),AGILITY,Jacobs Vocal Academy,"Повторяйте за фортепиано более длинные и быстрые пассажи. Ноты ровные, интонация чистая.","Мало подвижности голоса, неровность в быстрых фразах.",средний,да,https://www.youtube.com/watch?v=JFfQiXvcufU,Riffs and Runs (Normal) - Vocal Exercise,видео целиком об этом упражнении,
N-AG-08,Ежедневные рифы и раны: сложный уровень,Daily Riffs And Runs Exercises (Hard),AGILITY,Jacobs Vocal Academy,"Повторяйте за фортепиано быстрые сложные пассажи. Если сбиваетесь, разберите пассаж медленно, потом верните темп.",Потолок скорости и точности в мелизмах.,продвинутый,да,https://www.youtube.com/watch?v=xZxSi4Rd6Js,Daily Riffs And Runs Exercises (Hard),видео целиком об этом упражнении,
N-AG-09,5 базовых рифов и пассажей,5 Riffs & Runs Every Singer Needs To Know,AGILITY,Justin Stoney,"Разберите пять типовых эстрадных рифов по одному: сначала медленно по нотам, потом в темп. Каждый отрабатывайте как отдельное упражнение в разных тональностях.","Мало готового «словаря» рифов, мелизмы звучат хаотично и неточно.",средний,да,https://www.youtube.com/watch?v=YOJTjSm7gvE,5 Riffs & Runs Every Singer Needs To Know - Voice Lessons To The World Ep. 120,видео целиком об этом упражнении,
N-AG-10,Как устроены рифы и мелизмы,Understanding Riffs and Runs (Tutorials Ep.3),AGILITY,Tara Simon,"Разберите, из каких нот состоит риф, и отработайте примеры из видео: медленно, потом в темп.","Смазанные, неточные рифы и мелизмы.",средний,да,https://www.youtube.com/watch?v=8F9fKLOv7gQ,Understanding Riffs and Runs! | Tutorials Ep.3 | Riffs and Runs,видео целиком об этом упражнении,
N-BR-01,Супер-дыхательная тренировка для певцов,Super Breathing Vocal Workout,BREATH,Cheryl Porter,"Выполняйте вместе с видео блок дыхательных упражнений и упражнений на опору: вдох вниз, ровный управляемый выдох, затем пение с опорой.","Короткое дыхание, воздух кончается к концу фраз, слабая опора.",начальный–средний,да,https://www.youtube.com/watch?v=MwvdFUpUK10,SUPER Breathing Vocal Workout for SINGERS w/Vocal Coach Cheryl Porter,упражнение внутри распевки,да
N-BR-02,«Супер-диафрагма»: связь гласных и контроль челюсти,Super Diaphragm (vowel connection + jaw control),BREATH,Cheryl Porter,"Пойте цепочку гласных на одном дыхании. Переходите с гласной на гласную плавно, челюсть почти неподвижна и спокойна, опора не отпускается при смене гласной.","Лишние движения челюсти, рваная смена гласных, опора «отключается» при смене гласной.",средний,да,https://www.youtube.com/watch?v=uFznyTlHmr0,Super Diaphragm - Cheryl Porter vocal workout (EN subts),видео целиком об этом упражнении,да
N-BR-03,Профессиональная тренировка 1: продвинутое дыхание,Professional Vocal Workout 1: Advanced Breathing Technique,BREATH,Eric Arceneaux,"Выполняйте вместе с видео дыхательную часть тренировки: управляемый вдох, длинный ровный выдох, затем пение с опорой.","Не хватает дыхания на длинные фразы, слабая опора.",средний,да,https://www.youtube.com/watch?v=RMsRo6iR5xQ,"Professional Vocal Workout - Part 1 ""Advanced Breathing Technique""",упражнение внутри распевки,
N-BR-04,2 быстрых приёма для дыхания и опоры,2 Quick Tips for Better Breathing and Support,BREATH,Freya Casey,Выполните два приёма из видео и сразу проверьте их на фразе из песни.,"Слабая опора, нехватка дыхания.",начальный,да,https://www.youtube.com/watch?v=GVdIPK1P1PY,Freya's Singing Tips: 2 Quick Tips For Better BREATHING And SUPPORT,упражнение внутри распевки,
N-BR-05,4 типа дыхания,4 Breathing Types,BREATH,Justin Stoney,"По очереди сделайте вдох разными способами: ключичным, грудным, брюшным и комбинированным. Сравните ощущения и закрепите низкий вдох без подъёма плеч.","Поверхностный ключичный вдох, поднятые плечи.",начальный,да,https://www.youtube.com/watch?v=mDQoMyPmg9s,"Ep. 1 ""4 Breathing Types"" - Voice Lessons To The World",видео целиком об этом упражнении,
N-BR-06,Долгие ноты на дыхании,How To Sing Long Notes,BREATH,Ken Tamplin,"Тяните ноту и распределяйте воздух равномерно до самого конца. Звук не проседает и не дрожит, опора сохраняется до снятия.","Воздух кончается к концу ноты, звук «падает» или дрожит.",начальный,да,https://www.youtube.com/watch?v=q5aPDjuW7aI,How To Sing Long Notes - Ken Tamplin Vocal Academy,видео целиком об этом упражнении,
